tweet,label,,,,,,,,,,,,,,,,,,,,,,,,,,
iyi partili türkkan 1.5 milyon suriyeli daha gelecek!,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
başkan erdoğan'dan suriyeli mülteci mesajı! "ya destek verin ya da kapıları açarız",hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
arslan bulut yazdı "300 metrekarelik konaklar yaptıralım suriyelilere…" akp iktidarı istanbul'un ve güneydoğu şehirlerinin demografik yapısını değiştirdi! suriyeli çalıştıranlara teşvik bile veriyorlar! türk çalıştırırsan teşvik yok!,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
güzel bir amaçla yola çıkmış ama insan askerini polisini bu denli kötüler mi? özellikle doğuda ve sınırda ne şartlar altında çalışıyor bu insanlar biraz insaf edin. bir de faşizmi eleştirip savaştan kaçıp gelen suriyeli insanlara gönderme yapmışlar. kusura bakmayın ama bu kaypakça,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
kimin parası bu türk halkının parası peki bizim bu kadar suriyeli baktığımız yetmediği gibi bir de bahçeli ev mi yapacağız? türkiye tapusunu da verelim mi suriyelilere... hani şu yakaladığında arkadan vuran suriyelilere... besle kargayı oysun gözünü yapan suriyelilere...,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
galatasaraylı taraftarlara suriyeli diyenler dönüp önce kendine baksın!...,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
açlıktan nefesimiz kokuyor tavuk dürüm yemekten gına geldi başkan çıkmış suriyeli vatan hainlerine 150 m2 bahçeli ev yapalım diyor asgari ücret 2020 tl başkan halk perişan ağalık yapma zamanı mı şimdi.,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
diyarbakırlı analar eksik suriyeli çocuklar eksik o eksik bu eksik onu da sen yap bişeyler de sen doldur kardeşim.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
bu makalede türkiye'deki suriyeli kadın ve çocukların sorunları 5 ana başlık altında ele alınmaktadır. bunlar 1 dil ve eğitim 2 çocuk işçiliği 3 çocuk gelin 4 insan ticareti fuhuş ve cinsel kölelik 5 uyuşturucu.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
park caddesi sağlık ocağı taraflarında mobese falan var mı 2 suriyeli piç pezevenk bir bayanın arkasından şahit olmak istemediğim bir hareket yaptılar kız arkası dönük olduğu için farketmedi bense suratlarına dik dik bakabildim sadece onlarsa pişkin pişkin sırıtıp gittiler,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
300 m2 evin şu anki arsa bedelsiz maliyeti en az 450 bin tl. 150 m2 bahçe düzeni en az 30 bin tl. yaklaşık 480 bin tl sadece bir suriyeli aileye bahşedilecek sanırsam?,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
içişleri bakanı süleyman soylu ekonominin çöküşü pahalılık zamlar vs de görev ihlali mi oluyor acaba vatandaş olarak ağzımıza sıçtınız. ölelim mi yandaşlar onun bunun adamları rahat yaşarken biz geberelim mi suriyeli kadar değerim yok bu ülkede,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
bir suriyeli tarafından taciz edilmediğim kalmıştı o da oldu kendi ülkemde mültecilerden çekiniyorum amk,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
ben hiç suriyeli çiftçi duymadım. ekip biçmek özveri ister çalışmak ister papatya ekmiyoruz. suriyeliler öğleden sonra uyanır sabah 5'te yatarlar. kim çiftçilik yapacak da ekip biçecek,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
gençlik merkezimizde türkçe eğitimini tamamlayan suriyeli kardeşlerimize sertifika töreninde dondurma ikramında bulunduk.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
o zaman niye suriyeli çalıştırana teşvik ve mülteci entegrasyonu için okul yapıyorsunuz. gönderin gitsin tiksindik artık görmek istemiyoruz suriyeli mülteci,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
bu kadar işsizlik varken 1 suriyeli 1 türk kampanyası nedir ya şaka mı?! yeni kampanya istiyoruz 1 türk 1 yeni mezun türk #1suriyeli,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
